	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
GNPDA1	0.0	23815.0	0.0	540780.0	15500.0	106440.0	0.0	85903.0	103950.0	211710.0	65300.0	0.0	0.0	0.0	0.0	0.0	0.0	77556.0	61070.0	0.0	45982.0	0.0	183070.0	1332300.0	4262200.0	18374000.0	27259000.0	20024000.0	4714600.0	679920.0	1249900.0	3186200.0	1747300.0	192100.0	159520.0	235230.0	146120.0	0.0	0.0	0.0	0.0	45114.0	25184.0	0.0	0.0	0.0	0.0	109520.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC39A14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	713400.0	542270.0	0.0	254880.0	50120.0	0.0	56760.0	123210.0	121860.0	0.0	0.0	24105.0	21445.0	0.0	0.0	0.0	0.0	44702.0	44128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53525.0	58673.0	0.0	0.0	31671.0	0.0	0.0	0.0
SLC30A1	0.0	0.0	0.0	78478.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30425.0	0.0	9816.3	591910.0	2046300.0	1777700.0	596770.0	132390.0	0.0	5009.0	8371.5	24163.0	0.0	12085.0	15217.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM16K	478230.0	26866.0	283330.0	223760.0	280900.0	278940.0	0.0	29924.0	36191.0	64882.0	0.0	133940.0	118810.0	153780.0	241130.0	0.0	0.0	1047100.0	24333.0	0.0	0.0	0.0	0.0	0.0	1318600.0	7654300.0	7895200.0	5945300.0	3064800.0	879290.0	765200.0	389230.0	304500.0	93777.0	567180.0	488430.0	0.0	0.0	157660.0	146780.0	0.0	0.0	0.0	0.0	16049.0	53219.0	0.0	0.0	65774.0	0.0	0.0	11525.0	45931.0	0.0	0.0	26024.0	16467.0	8728.0	4063.2	0.0
PLOD2	0.0	42304.0	185120.0	279180.0	293680.0	0.0	397310.0	0.0	153230.0	308910.0	0.0	0.0	31718.0	29373.0	47533.0	683930.0	0.0	8611.6	0.0	0.0	0.0	0.0	0.0	63102.0	54661.0	309170.0	75216.0	0.0	0.0	30165.0	13084.0	0.0	0.0	0.0	0.0	0.0	0.0	16021.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B3KNN9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179340.0	1376900.0	1361900.0	179450.0	78398.0	12365.0	23877.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14975.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NAXD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79410.0	112280.0	93527.0	345730.0	302300.0	496310.0	458960.0	532000.0	78165.0	0.0	82435.0	0.0	147130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76268.0	223930.0	148250.0	68641.0	93769.0	208980.0	218560.0	291620.0	215360.0	366990.0	260650.0	258760.0	65489.0	23613.0	119140.0	210550.0	102490.0	0.0	35604.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLCC1	0.0	0.0	20125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	391290.0	239320.0	90144.0	526420.0	307460.0	191350.0	259560.0	94650.0	69822.0	59712.0	126340.0	0.0	44482.0	0.0	68946.0	0.0	0.0	0.0	0.0	0.0	0.0	16031.0	0.0	0.0	37018.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTHRC1	0.0	57587.0	0.0	115500.0	145200.0	0.0	0.0	0.0	0.0	0.0	0.0	137010.0	94331.0	134780.0	0.0	0.0	0.0	466820.0	3559200.0	4039900.0	6519200.0	9243100.0	6399200.0	7097200.0	2103000.0	4419800.0	966360.0	2851900.0	4171100.0	7532700.0	2858100.0	1697000.0	2240200.0	2110400.0	1073300.0	561860.0	640500.0	750030.0	786520.0	255020.0	192120.0	0.0	0.0	137890.0	162960.0	68651.0	38012.0	0.0	0.0	0.0	0.0	44112.0	0.0	0.0	61492.0	0.0	0.0	0.0	0.0	0.0
